título_2019;links_2019;autores_e_universidades_2019;code_area;area
EFEITOS DA TRANSPARÊNCIA FISCAL SOBRE OS GASTOS DO GOVERNO EM EDUCAÇÃO E SOBRE A EFICIÊNCIA DESSES GASTOS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-96f495d31be27962ae7fa3069fe747f6.pdf;ANA JORDÂNIA DE OLIVEIRA (UCAM) - JÚLIO CESAR ALBUQUERQUE BASTOS (UFF) - GABRIEL CALDAS MONTES (UFF);i5;Área 5 - Economia do Setor Público
EMPRÉSTIMOS COM AMORTIZAÇÕES CONDICIONADAS À RENDA (ECR): CENÁRIOS DE FINANCIAMENTO DE ESTUDANTES DE ENSINO SUPERIOR NO BRASIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-12d971f7b23dada0016c94b8f706d273.pdf;PAULO AUGUSTO MEYER MATTOS NASCIMENTO (IPEA);i5;Área 5 - Economia do Setor Público
ESTIMAÇÃO DO NÍVEL MÁXIMO DE ENDIVIDAMENTO PARA PAÍSES EMERGENTES: UMA ANÁLISE VIA FUNÇÃO DE REAÇÃO FISCAL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-64c1166659d6528ba2118b3094ea1260.pdf;RAÍ DA SILVA CHICOLI (USP/IPE) - SIEGFRIED BENDER (USP/IPE);i5;Área 5 - Economia do Setor Público
FINANCIAMENTO DA EDUCAÇÃO E A DISPARIDADE NO DESEMPENHO ESCOLAR ENTRE MUNICÍPIOS BRASILEIROS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-8077df959cc98d5eac7a6ae31a327f8e.pdf;RICARDO BATISTA POLITI (UFABC) - IGOR REIS (UFABC);i5;Área 5 - Economia do Setor Público
IMPACTO DA POLÍTICA FISCAL SOBRE O PIB REAL PER CAPITA - UMA ANÁLISE DOS ESTADOS BRASILEIROS ENTRE 2003 E 2014;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-0f6439f56b7e4dbbdf2c15fd60ffb450.pdf;JÚLIO CESAR ALBUQUERQUE BASTOS (UFF) - FREDERICO FELIPE MEDEIROS  (UFF);i5;Área 5 - Economia do Setor Público
OUTSIDERS NA POLÍTICA MELHORAM A GESTÃO MUNICIPAL?;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-596009a12d0155249570d31dc88f2e05.pdf;HENRIQUE AUGUSTO CAMPOS FERNANDEZ HOTT (USP/FEA) - NAERCIO AQUINO MENEZES FILHO (INSPER INSTITUTO DE ENSINO E PESQUISA (INSPER));i5;Área 5 - Economia do Setor Público
QUO VADIS? PROFESSIONAL CAREERS OF BRAZILIAN REGULATORS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-d232fe188a98982765819077345e9bdd.docx;BRUNO CÉSAR ARAÚJO (IPEA) - ALKETA PECI (FGV/EBAPE) - ALINE SANTOS (FGV/EBAPE);i5;Área 5 - Economia do Setor Público
REDES SOCIAS E PERFORMANCE ELEITORAL: UMA ANALISE DAS ELEICOES DE 2018 PARA GOVERNADOR;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-e4daa8666212bc0b52f9d464d312d0be.docx;FRANCISCO ANTONIO SOUSA DE ARAUJO (UFC) - PAULO HENRIQUE ROCHA DE SOUZA (SUPERIOR TRIBUNAL DE JUSTIÇA) - PAULO DE MELO JORGE NETO (UFC);i5;Área 5 - Economia do Setor Público
TRADE-OFF CUSTO-QUALIDADE NA PROVISÃO DE SERVIÇOS PÚBLICOS: COMPARAÇÃO ENTRE OS MODELOS DE PROVISÃO DE SANEAMENTO BÁSICO NO BRASIL E SEUS EFEITOS NA SAÚDE;https://www.anpec.org.br/encontro/2019/submissao/files_I/i5-6adafb1534c51a1ce9138c289aeee102.docx;WELBER TOMÁS DE OLIVEIRA (UFU) - CARLOS CÉSAR SANTEJO SAIANI (UNIVERSIDADE FEDERAL DE UBERLÂNDIA (UFU));i5;Área 5 - Economia do Setor Público
A ARMADILHA DA RENDA MÉDIA E OS OBSTÁCULOS À TRANSFORMAÇÃO ESTRUTURAL: A CURVA S DA COMPLEXIDADE ECONÔMICA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-f6865bd380aebd7cd9f9d025c05a61c1.pdf;LIGIA MARIA DE JESUS CESTARI ZAGATO (FGV-SP) - PAULO GALA (ESCOLA DE ECONOMIA, FUNDAÇÃO GETULIO VARGAS) - FLAVIO L. PINHEIRO (NOVA INFORMATION MANAGEMENT SCHOOL (NOVA IMS)) - DOMINIK HARTMANN ( INEQUALITY AND ECONOMIC POLICY ANALYSIS (INEPA)/ FRAUNHOFER CENTER FO);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
A BASELINE SUPERMULTIPLIER MODEL FOR THE ANALYSIS OF FISCAL POLICY AND GOVERNMENT DEBT;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-fc23f49bd2852d981640ef4620211a61.pdf;FABIO NEVES PERACIO DE FREITAS (UFRJ) - RODRIGO CAVALCANTI (UFRJ);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
A CONTRIBUIÇÃO DA POLÍTICA FISCAL PARA A CRISE BRASILEIRA RECENTE: UMA ANÁLISE BASEADA EM MULTIPLICADORES DE DESPESAS E RECEITAS PRIMÁRIAS DO GOVERNO CENTRAL NO PERÍODO 1997-2018;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-501ef3540cf5e498d7f9b1346b78c82a.pdf;MARINA DA SILVA SANCHES (USP/IPE) - LAURA BARBOSA DE CARVALHO (IPE/USP);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
A RELAÇÃO ENTRE TAXA DE CÂMBIO E MUDANÇA ESTRUTURAL: UMA ABORDAGEM BASEADA NAS ELASTICIDADES-RENDA DE COMÉRCIO;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-a0aae8ba408db5604f1b3549030e4deb.docx;NELSON MARCONI (FGV-EAESP) - ELIANE CRISTINA ARAÚJO (UEM) - MARCO CAPRARO BRANCHER (FGV-EESP) - TIAGO COUTO PORTO (FGV-EAESP);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
CADEIAS GLOBAIS DE VALOR E PRODUTIVIDADE EM UMA ABORDAGEM DINÂMICA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-4b9ec3fe56e63a691393c37e7191d6da.pdf;FRANCIELLY DE FÁTIMA ALMEIDA (USP/FEA-RP) - LUCIANO NAKABASHI (USP/FEA-RP);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
CAPITAL HUMANO, ESPECIALIZAÇÃO PRODUTIVA E CONVERGÊNCIA DE RENDA EM UM MODELO RICARDIANO/ESTRUTURALISTA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-20a217768cde7ddf1316f54c19849e41.pdf;ISABELLA CAROLINE SANTOS SOUZA (UFV) - LUCIANO DIAS DE CARVALHO (UNIVERSIDADE FEDERAL DE VIÇOSA - UFV);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
COMPETITION, MARKET SHARE AND TECHNOLOGICAL CHANGE IN A POST-KEYNESIAN DUOPOLY MODEL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-32dcd273516def4374534d300d72e167.pdf;ANA BOTTEGA (UFMG) - RAFAEL RIBEIRO (UFMG);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
CONFLICTING-CLAIMS AND LABOUR MARKET CONCERNS IN A SUPERMULTIPLIER SFC MODEL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-3623fcf1789df6fb683aa46ebeeef050.pdf;LIDIA BROCHIER (UFRJ/IE);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
CRESCIMENTO E MUDANÇA DEMOGRÁFICA: UMA APLICAÇÃO DO MODELO DE GOODWIN PARA PAÍSES DA OCDE (1960-2010);https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-dcf1c885c9284c13981305df0d87cb1a.pdf;DANIEL NOGUEIRA SILVA (UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARÁ) - DEEPANKAR BASU (UNIVERSIDADE DE MASSACHUSSETS) - HENRIQUE MORRONE (UFRGS);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
CRESCIMENTO ECONÔMICO E MUDANÇA ESTRUTURAL NO BRASIL: UM CONTO DE GANHOS E PERDAS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-a5276f78ae7d56f5a0327fc6fe15c7fa.pdf;TOMÁS AMARAL TOREZANI (SEPLAG-RS);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
EFEITOS DO INVESTIMENTO ESTRANGEIRO DIRETO E DAS CARACTERÍSTICAS DOS PAÍSES HOSPEDEIROS NO CRESCIMENTO ECONÔMICO;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-5652a658903d68db0f8b602f3412d697.pdf;MARCOS JÚNIO RIBEIRO (USP/FEA-RP) - LEONARDO CHAVES BORGES CARDOSO (UFV);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
ENGINES OFF: A STRUCTURAL DECOMPOSITION OF THE BRAZILIAN (DE-)GROWTH IN THE 2010S;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-5d012f2f7862d56ff5e6ff1ad5ebfc96.docx;GUILHERME MAGACHO (UFABC) - IGOR ROCHA (ABDIB);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
EXCHANGE RATE AND STRUCTURAL CHANGE: EVIDENCES FOR LATIN AMERICA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-d0108088c73025a70e68e81525f9af46.pdf;HUGO CARCANHOLO IASCO PEREIRA (UFMG/CEDEPLAR) - FABRÍCIO MISSIO (UFMG/CEDEPLAR);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
GENERALIZING KALDOR NEO-PASINETTI MODEL WITH POLITICAL ORIENTATION AND OPEN ECONOMY.;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-2f78c2705c5a85b80d3c7ca5702b319e.pdf;JOÃO GABRIEL DE ARAUJO OLIVEIRA (UEL) - RENATO NOZAKI SUGAHARA (UEL) - JOANILIO RODOLPHO TEIXEIRA (UNB);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
HUMAN CAPITAL ACCUMULATION, INCOME DISTRIBUTION AND ECONOMIC GROWTH: A DEMAND-LED ANALYTICAL FRAMEWORK;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-dc8f30cc5716943af17311644e4b0e49.pdf;GUSTAVO PEREIRA SERRA (USP/FEA) - GILBERTO TADEU LIMA (USP/FEA) - LAURA CARVALHO (USP/FEA);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
INFRASTRUCTURE AND INCOME INEQUALITY: AN APPLICATION TO THE BRAZILIAN CASE USING HIERARCHICAL SPATIAL AUTOREGRESSIVE MODELS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-546e9c5e8fb1c61b68606f164e867aec.pdf;VICTOR MEDEIROS (UFMG/CEDEPLAR) - RAFAEL RIBEIRO (UFMG/CEDEPLAR) - PEDRO AMARAL (UFMG/CEDEPLAR);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
INTERNATIONAL COMMODITY PRICE CYCLE AND THE DYNAMIC OF INVESTMENTS IN BRAZIL: EVIDENCE FROM THE 1996 – 2018 PERIOD;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-22a6352808c0c7c109bbb4d01003ca8f.pdf;EVA YAMILA DA SILVA CATELA (UFSC) - MARIO AUGUSTO GOUVÊA DE ALMEIDA (UFSC E STN) - JAYLSON JAIR DA SILVEIRA (UFSC);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
O QUE IMPULSIONA O DESENVOLVIMENTO DO SETOR BANCÁRIO REGIONAL BRASILEIRO? UMA VISÃO PÓS-KEYNESIANA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-9b1115473d60b3c500e93d012e9c707e.pdf;JOÃO RICARDO TONIN (UFPR) - MARCELO LUIZ CURADO (UFPR) - VICTOR CRUZ E SILVA (UFPR);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
OUTPUT AND HOUSEHOLD CONSUMPTION GROWTH IN BRAZIL FROM 2000 TO 2016: A STRUCTURAL DECOMPOSITION ANALYSIS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-7f0ce96296441d31f3a4a8ec4d2b5fea.pdf;CAMILA UNIS KREPESKY (UFRJ/IE) - ESTHER DWECK (UFRJ/IE) - FABIO N. P. FREITAS (UFRJ/IE);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
QUALIDADE DAS FINANÇAS PÚBLICAS E CRESCIMENTO ECONÔMICO BRASILEIRO EM UMA MODELAGEM MULTIDIMENSIONAL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-4fd87331cc1d2ef5296f624ae14d91df.pdf;LEILYANNE VIANA NOGUEIRA (UFC) - RONALDO DE ALBUQUERQUE E ARRAES (UFC);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
THE DUTT MODEL REVISITED: UNEVEN DEVELOPMENT AND THE BALANCE OF PAYMENTS CONSTRAINED MODEL. A DEBATE ON TERMS OF TRADE, ECONOMIC CYCLES, AND PRODUCTIVITY CATCHING-UP.;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-cf767a802aaffbda27a9c3c38b10a350.pdf;DANILO SPINOLA (UNU-MERIT);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
THE TERM STRUCTURE OF INTEREST RATE AND INCOME DISTRIBUTION IN AN SFC POST-KEYNESIAN GROWTH MODEL WITH INFLATION TARGETING AND ZERO MONEY FINANCING OF GOVERNMENT DEFICIT;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-103efa43b994e07dadba9c716e29bb10.pdf;JULIO FERNANDO COSTA SANTOS (UFU) - JOSE LUIS DA COSTA OREIRO (UNB);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
UM MODELO KALDORIANO DE CRESCIMENTO: MUDANÇA ESTRUTURAL, HIATO TECNOLÓGICO E NÃO LINEARIDADES DA TAXA DE CÂMBIO;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-04b315559034f3a1cdccebbc1378e348.pdf;MATHEUS PEREIRA RIBEIRO (UFJF) - LUCIANO FERREIRA GABRIEL (UFV);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
WHAT IS THE IMPORTANCE OF A COUNTRY'S BANKING MARKET STRUCTURE FOR FINANCIAL DEVELOPMENT?;https://www.anpec.org.br/encontro/2019/submissao/files_I/i6-9b75465898a5a35e23487af0df9b4044.pdf;MÁRCIO SILVA COUTINHO (CAIXA ECONÔMICA FEDERAL) - CLAUDIO OLIVEIRA DE MORAES (BACEN) - JOSÉ AMÉRICO PEREIRA ANTUNES (BACEN);i6;Área 6 - Crescimento, Desenvolvimento Econômico e Instituições
A CONTRIBUIÇÃO DO ESFORÇO INOVATIVO PARA O DESEMPENHO EXPORTADOR: UMA ANÁLISE PARA PAÍSES DO MERCOSUL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-2d4065d96da60e4b65a46347ce73e8d5.pdf;ANTÔNIO FERNANDO COSTA PELLA (UFES) - EDSON ZAMBON MONTE (UFES) - MARIANA FIALHO FERREIRA (UFES);i7;Área 7 - Economia Internacional
ANÁLISE DA QUALIDADE DO COMÉRCIO ENTRE BRASIL E PAÍSES DA OCDE;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-d0ce1748734816dfd31994902038f46a.pdf;EDUARDO FABIANO DE AMORIM CASTELLANO (UFPR) - CAMILA CRISTINA ALVES DE OLIVEIRA  (UFPR) - MAURICIO VAZ LOBO BITTENCOURT  (UFPR);i7;Área 7 - Economia Internacional
ANTIDUMPING E A MARGEM EXTENSIVA DAS IMPORTAÇÕES;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-ae74c5306d14a7583ad11258dc4492e7.pdf;BRUNO DE LORENZI CANCELIER MAZZUCCO (UFPR) - MAURICIO BITTENCOURT (UFPR);i7;Área 7 - Economia Internacional
COUNTRY-RISK PREMIUM IN THE PERIPHERY AND THE INTERNATIONAL FINANCIAL CYCLE 1999-2019;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-d2e4fbee8ff476878254e04c142145f5.pdf;JULIA DE MEDEIROS BRAGA (UFF) - GABRIEL AIDAR (UFRJ);i7;Área 7 - Economia Internacional
HAS WTO MEMBERSHIP PROMOTED TRADE SINCE ITS FOUNDATION?;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-d393955e615734370c761030f3a44d83.pdf;MAGNUS DOS REIS (UNISINOS) - ANDRÉ FILIPE ZAGO DE AZEVEDO (UNISINOS) - LOURENÇO S. PAZ (BAYLOR UNIVERSITY);i7;Área 7 - Economia Internacional
HOW HARMFUL CAN CHINESE EXPORTS BE TO BRAZILIAN EXPORTS TO MERCOSUR?: A SIMILARITY AND QUALITY ANALYSIS REVISITED;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-7a9dadd59846204b79899e5900299996.pdf;MAURICIO VAZ LOBO BITTENCOURT (UFPR) - ALEX SANDER SOUZA DO CARMO (UEPG) - STANLEY THOMPSON (OHIO STATE UNIVERSITY) - GABRIEL CASARIL (UFPR);i7;Área 7 - Economia Internacional
IMPORT PROTECTION THROUGH ANTIDUMPING FILINGS AND ECONOMIC ACTIVITY;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-5d9fc625a62e2ddd5d066f16cc7eada7.docx;SERGIO GOLDBAUM (FGV-SP) - EUCLIDES PEDROZO JR (UNIP);i7;Área 7 - Economia Internacional
O AMBIENTE POLÍTICO E A ATRAÇÃO DE INVESTIMENTO EXTERNO DIRETO: UMA ABORDAGEM INSTITUCIONALISTA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-6d90f78f3faca5e2eed738f88a93135e.docx;ANA PAULA MENEZES PEREIRA (UNIVERSIDADE DO ESTADO DE SANTA CATARINA - UDESC) - EDUARDO HENRIQUE DE BORBA  (UNIVERSIDADE DO ESTADO DE SANTA CATARINA - UDESC);i7;Área 7 - Economia Internacional
O COMÉRCIO INTRAINDUSTRIAL E A COMPLEXIDADE ECONÔMICA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-6e5d0e86c4108aad973422cbc6fccb7f.pdf;MARCOS TADEU CAPUTI LÉLIS (UNISINOS) - NADINE FÜHR STEFFEN (UNISINOS) - LUCIANE FRANKE (UFRGS) - ANDRÉ MOREIRA CUNHA (UFRGS);i7;Área 7 - Economia Internacional
PRODUTIVIDADE, HETEROGENEIDADE E MULTINACIONAIS BRASILEIRAS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-04d80e97e036f00bf9eea263eca3f803.pdf;PEDRO HENRIQUE CAVALCANTI ROCHA (UFPB) - HÉLIO DE SOUSA RAMOS FILHO (UFPB);i7;Área 7 - Economia Internacional
QUALITY AND PENETRATION OF BRAZILIAN EXPORTS: WHAT IS THE EFFECT OF COMPARATIVE ADVANTAGE?;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-158f1347f540c345abbc35dcece579f3.pdf;DANIELLE EVELYN DE CARVALHO (UFMG/CEDEPLAR) - FERNANDA APARECIDA SILVA (UFV/PPGEA) - CARLOS OTÁVIO DE FREITAS (DCAD/UFRRJ);i7;Área 7 - Economia Internacional
REGIONAL AND GLOBAL PATTERNS OF INSERTION IN VALUE CHAINS: EVIDENCE FOR BRAZIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-d9a0fa01ed67c5b62f9ff61ccd8de86e.pdf;INÁCIO FERNANDES DE ARAÚJO JUNIOR (USP) - FERNANDO SALGUEIRO PEROBELLI (UFJF) - WESLEM RODRIGUES FARIA (UFJF);i7;Área 7 - Economia Internacional
THE BRAZILIAN ECONOMIC CRISIS DURING THE PERIOD 2014-2016: IS THERE PRECEDENCE OF INTERNAL OR EXTERNAL FACTORS?;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-489788d347b4dcc432dfa84056ddb694.pdf;PEDRO RAFFY VARTANIAN (UNIVERSIDADE PRESBITERIANA MACKENZIE) - HUGO DE SOUZA GARBE (MACKENZIE E FGV/SP);i7;Área 7 - Economia Internacional
THE ROLE OF INTERNATIONAL RESERVES ON REAL EXCHANGE RATE:  A PANEL ARDL MODEL APPROACH;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-e663d175e7e89c0a1f449df31cf14d87.pdf;FLAVIO VILELA VIEIRA (UFU) - CLEOMAR GOMES DA SILVA (UFU);i7;Área 7 - Economia Internacional
VANTAGENS COMPARATIVAS AO NÍVEL DE FIRMAS: EVIDÊNCIAS INICIAIS PARA A INDÚSTRIA DE TRANSFORMAÇÃO BRASILEIRA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i7-868d156b4ab0d52a645b37c10b45154f.pdf;ÁLVARO BARRANTES HIDALGO (UFPE/PIMES) - DIEISON LENON CASAGRANDE (FACE/UFGD) - PAULO RICARDO FEISTEL (PPGED/UFSM);i7;Área 7 - Economia Internacional
A BIVARIATE APPROACH TO THE MINCERIAN EARNINGS EQUATION;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-8cd88d32d7169458adf1684fbb3ef942.pdf;DANÚBIA RODRIGUES DA CUNHA (UCB) - HELTON SAULO (UNB) - SANDRO E. MONSUETO (UFG) - JOSE A. DIVINO (UCB);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
ARE CRYPTOCURRENCIES SUITABLE FOR PORTFOLIO DIVERSIFICATION? CROSS-COUNTRY EVIDENCE;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-a2719c2b29132625fa99c7f2b5ed47c3.pdf;JÉFFERSON AUGUSTO COLOMBO (FGV-SP/EESP) - FERNANDO I. L. CRUZ (SECRETARIA DE PLANEJAMENTO, ORÇAMENTO E GESTÃO DO ESTADO DO RIO GRANDE) - RENAN X. CORTES (UNIVERSITY OF CALIFORNIA AT RIVERSIDE (UC-RIVERSIDE)) - LUIS H. Z. PAESE (PORTOCRED FINANCEIRA);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
BITCOIN IN BRAZIL: LAW OF ONE PRICE AND PRICE DISCOVERY IN AN EMERGING MARKET;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-181ac4d89a2205bca52b62911a16a823.pdf;FERNANDO BARROS JR (UFPR) - DANIEL MODENESI DE ANDRADE (FUCAPE) - FABIO YOSHIO SUGURI MOTOKI (FUCAPE) - MATHEUS OLIVEIRA DA SILVA (FUCAPE);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
BITCOIN'S RETURN VOLATILITY AND UNCERTAINTY SHOCKS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-cb91e1b9f7956a1be8427189ec50faea.pdf;BRUNO FERREIRA FRASCAROLI (UFPB);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
CARTEL SCREENING IN THE BRAZILIAN FUEL RETAIL MARKET;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-3c3393173e6fa08a096877362c5f6c57.pdf;DOUGLAS SAD SILVEIRA (UFJF) - SILVINHA VASCONCELOS  (UNIVERSIDADE FEDERAL DE JUIZ DE FORA) - PAULA BOGOSSIAN  (CONSELHO ADMINISTRATIVO DE DEFESA ECONÔMICA) - JOAQUIM NETO (UNIVERSIDADE FEDERAL DE JUIZ DE FORA);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
EFEITOS DO BNDES NAS FIRMAS BRASILEIRAS: UM ESTUDO DE ANÁLISE DE SOBREVIVÊNCIA PARA OS ANOS DE 2002 A 2016.;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-fd6c24ba14230705cc9d1e81843d565b.pdf;NAPOLEÃO LUIZ COSTA DA SILVA (IPEA) - ALICE SACCARO (IPEA);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
GOVERNANÇA CORPORATIVA E EFICIÊNCIA DE MERCADO: ANÁLISE DE FLUTUAÇÕES DESTENDENCIADAS MULTIFRACTAIS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-b03f2d17deeeeadbbb936bab68a839fc.pdf;LEANDRO MACIEL (UNIFESP);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
LONG MEMORY AND TERM STRUCTURE OF INTEREST RATES;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-15b69b3b4f0a0ca3ae1555b9a763ee92.pdf;FERNANDA CRISTINA VALENTE (USP/FEA-RP) - MÁRCIO POLETTI LAURINI (USP (FEA-RP));i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
O EFEITO DA POLÍTICA DE DESONERAÇÃO DA FOLHA DE PAGAMENTOS SOBRE AS ESTRUTURAS DE MERCADO NO BRASIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-7d2f00cbbe94a55c0d9e1ced396c0547.pdf;CAIO MATTEUCCI DE ANDRADE LOPES (UFPR) - ALEXANDRE ALVES PORSSE (UFPR);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
POLITICAL POLARIZATION VS. FACT-CHECKING: EMERGENCE OF IMPUDENT LIES IN SOCIAL MEDIA;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-d898d7ab9705fc898b735bd547f3bc07.pdf;SAMUEL SOLGON SANTOS (UFRGS) - MARCELO DE CARVALHO GRIEBELER (UFRGS);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
ROTATIVIDADE DE TREINADORES E O DESEMPENHO DAS EQUIPES DE FUTEBOL NO BRASIL;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-f3fd561df1cc7a9016f164201728a0e3.pdf;CAIO OLIVEIRA AZEVEDO (UFPB) - ALÉSSIO TONY CAVALCANTI DE ALMEIDA (UFPB) - HILTON MARTINS DE BRITO RAMALHO (UFPB);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
THE DARK SIDE OF PRUDENTIAL MEASURES;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-3fafe17800d86ff773801b29cdac3806.pdf;PAULO ROBERTO SCALCO (UFG) - BENJAMIN M. TABAK ( FGV/EPPG) - ANDERSON M. TEIXEIRA (FACE/UFG);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
THIN SUBSIDIES EFFECTS ON FOOD CONSUMPTION PATTERN AND NUTRITIONAL STATUS OF BRAZILIAN POOR CHILDREN;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-4895e15efddc6a69ba0fecb9d35f9002.pdf;MARIA MICHELIANA DA COSTA SILVA (UFV/ PPGEA);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
UMA ANÁLISE SOBRE A DEMANDA DOMICILIAR POR ALIMENTOS DE FAMÍLIAS BENEFICIÁRIAS E NÃO BENEFECIÁRIAS DO BOLSA FAMÍLIA POR MEIO DA POF 2008/2009;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-8e1fc5b64cfd45dbe2cc12e664adce84.docx;LORENZO LUIZ BIANCHI (PUC-RS) - MARCO TULIO ANICETO FRANÇA (PUC-RS);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
US RISK PREMIA UNDER EMERGING MARKETS CONSTRAINTS;https://www.anpec.org.br/encontro/2019/submissao/files_I/i8-cd23ae0311171513000899adb0775fac.pdf;ELIAS CAVALCANTE FILHO (USP/FEA) - BRUNO GIOVANNETTI (FGV/EESP) - FERNANDO CHAGUE (FGV/EESP) - RODRIGO DE-LOSSO (USP/FEA);i8;Área 8 - Microeconomia, Métodos Quantitativos e Finanças
